"Player","Source","Target","Value"
"Victor Andrade","SL Benfica","GD Estoril Praia","800000"
"Daniel Candeias","SL Benfica","Rangers FC","800000"
"Jhon Murillo","SL Benfica","Kasimpasa","Loan fee:750000"
"Lisandro López","SL Benfica","Inter Milan","Loan fee:450000"
"Derley","SL Benfica","Desportivo Aves","0"
"Salvador Agra","SL Benfica","Desportivo Aves","Loan fee:0"
"Luis Fariña","SL Benfica","Desportivo Aves","0"
"Pedro Pereira","SL Benfica","Genoa CFC","Loan fee:0"
"André Horta","SL Benfica","SC Braga","Loan fee:0"
"Marcelo Hermes","SL Benfica","Cruzeiro Esporte Clube","Loan fee:0"
"César Martins","SL Benfica","Esporte Clube Juventude","Loan fee:0"
"Mato Milos","SL Benfica","Lechia Gdansk","Loan fee:0"
"Diego Lopes","SL Benfica","Rio Ave FC","?"
"Filipe Augusto","SL Benfica","Aytemiz Alanyaspor","Loan fee:0"
"Patrick","SL Benfica","Vitória Setúbal FC","Loan fee:0"
"Júlio César","SL Benfica","Free agent","0"
"Gabriel Barbosa","SL Benfica","Inter Milan","Loan End"
"Mateus","FC Arouca","Boavista Porto FC","0"
"Flávio","Esporte Clube Vitória","Boavista Porto FC","0"
"Vítor Bruno","CD Feirense","Boavista Porto FC","0"
"Ricardo Clarke","Zamora FC","Boavista Porto FC","0"
"Alex Gorrin","Wellington Phoenix","Boavista Porto FC","0"
"Raphael","Swindon Town","Boavista Porto FC","0"
"David Simão","CSKA Sofia","Boavista Porto FC","0"
"Aymen Tahar","Gaz Metan Medias","Boavista Porto FC","0"
"Assis","Leixões SC","Boavista Porto FC","0"
"Robson","Esporte Clube Bahia","Boavista Porto FC","?"
"Kuca","FC Arouca","Boavista Porto FC","?"
"Yusupha Njie","FUS Rabat","Boavista Porto FC","Loan fee:0"
"Rui Pedro","FC Porto","Boavista Porto FC","Loan fee:0"
"Leonardo Ruiz","Sporting CP","Boavista Porto FC","Loan fee:0"
"Samu","SC Espinho","Boavista Porto FC","Loan End"
"Idé Colubali","FK Jerv","Boavista Porto FC","Loan End"
"Alex Júnior","AD Camacha","Boavista Porto FC","Loan End"
"Emmanuel Hackman","Desportivo Aves","Boavista Porto FC","Loan End"
"Miguel Pereira","FC Pedras Rubras","Boavista Porto FC","Loan End"
"Digas","AD Fafe","Boavista Porto FC","Loan End"
"Lovro Medic","GD Gafanha","Boavista Porto FC","Loan End"
"Luisinho","Académico Viseu FC","Boavista Porto FC","Loan End"
"Onyekachi Silas","Gondomar SC","Boavista Porto FC","Loan End"
"Samu","AD Fafe","Boavista Porto FC","Loan End"
"Habib Daf","GD Gafanha","Boavista Porto FC","Loan End"
"Diogo Gouveia","SC São João Ver","Boavista Porto FC","Loan End"
"Fábio Ervões","FC Vizela","Boavista Porto FC","Loan End"
"André Fonseca","AD Oliveirense","Boavista Porto FC","Loan End"
"Iván Machado","FC Pedras Rubras","Boavista Porto FC","Loan End"
"Douglas Abner","SC Salgueiros 08","Boavista Porto FC","Loan End"
"Lucas Tagliapietra","Boavista Porto FC","LDU Quito","500000"
"Digas","Boavista Porto FC","CD Cinfaes","0"
"Anderson Carvalho","Boavista Porto FC","FK Tosno","0"
"Emin Makhmudov","Boavista Porto FC","Neftchi Baku","0"
"André Schembri","Boavista Porto FC","Apollon Limassol","0"
"Carlos Santos","Boavista Porto FC","SC Salgueiros","0"
"André Fonseca","Boavista Porto FC","Rebordosa AC","0"
"Luisinho","Boavista Porto FC","Académica Coimbra","0"
"Samu","Boavista Porto FC","SC Espinho","Loan fee:0"
"Aidi Fulangxisi","Boavista Porto FC","Shanghai Greenland Shenhua","0"
"Miguel Pereira","Boavista Porto FC","FC Pedras Rubras","0"
"Anderson Correia","Boavista Porto FC","Nea Salamina Famagusta","0"
"Davi Mbala","Boavista Porto FC","Zaria Balti","0"
"Philipe Sampaio","Boavista Porto FC","Akhmat Grozny","0"
"Iván Machado","Boavista Porto FC","Atlético dos Arcos","0"
"Alex Gorrin","Boavista Porto FC","Sepsi Sf. Gheorghe","0"
"Diogo Gouveia","Boavista Porto FC","SC São João Ver","0"
"Onyekachi Silas","Boavista Porto FC","AC Marinhense","0"
"Alex Júnior","Boavista Porto FC","Gandzasar Kapan","?"
"André Bukia","Boavista Porto FC","FC Arouca","Loan fee:0"
"Idé Colubali","Boavista Porto FC","FK Jerv","Loan fee:0"
"Emmanuel Hackman","Boavista Porto FC","Portimonense SC","?"
"Flávio","Boavista Porto FC","Esporte Clube Santo André (SP)","?"
"Mickaël Meira","Boavista Porto FC","Free agent","0"
"Lovro Medic","Boavista Porto FC","Free agent","0"
"Fábio Ervões","Boavista Porto FC","Free agent","0"
"Habib Daf","Boavista Porto FC","Free agent","0"
"Mamadou Ba","Boavista Porto FC","Free agent","0"
"Tengarrinha","Boavista Porto FC","Free agent","0"
"Iuri Medeiros","Boavista Porto FC","Sporting CP","Loan End"
"Raúl Silva","CS Marítimo","SC Braga","2000000"
"Fransérgio","CS Marítimo","SC Braga","1250000"
"Diogo Figueiras","Olympiacos Piraeus","SC Braga","1200000"
"Andrej Lukic","NK Osijek","SC Braga","1000000"
"Dyego Sousa","CS Marítimo","SC Braga","296000"
"Ricardo Ryller","Luverdense Esporte Clube (MT)","SC Braga","250000"
"Ricardo Esgaio","Sporting CP","SC Braga","Swap"
"Paulinho","Gil Vicente FC","SC Braga","0"
"Nuno Sequeira","CD Nacional","SC Braga","0"
"João Teixeira","FC Porto","SC Braga","Loan fee:0"
"Bruno Viana","Olympiacos Piraeus","SC Braga","Loan fee:0"
"Jefferson","Sporting CP","SC Braga","Loan fee:0"
"Artur Jorge","Royal Excel Mouscron ","SC Braga","Loan End"
"Crislan","Vegalta Sendai","SC Braga","Loan End"
"Fábio Martins","GD Chaves","SC Braga","Loan End"
"Alef","Umm Salal Sport Club","SC Braga","Loan End"
"Marko Bakic","AD Alcorcón","SC Braga","Loan End"
"Rambé","SC Farense","SC Braga","Loan End"
"Joan Román","Slask Wroclaw","SC Braga","Loan End"
"Danilo","Standard Liège","SC Braga","Loan End"
"Dolly Menga","FC Ashdod","SC Braga","Loan End"
"Arghus","Excelsior Rotterdam","SC Braga","Loan End"
"Tiago Gomes","Apollon Limassol","SC Braga","Loan End"
"Rui Fonte","SC Braga","Fulham FC","9130000"
"Pedro Neto","SC Braga","SS Lazio","Loan fee:7500000"
"Rodrigo Battaglia","SC Braga","Sporting CP","4500000"
"Bruno Jordão","SC Braga","SS Lazio","Loan fee:4000000"
"Pedro Santos","SC Braga","Columbus Crew SC","2000000"
"Tomás Martínez","SC Braga","Houston Dynamo","1660000"
"Nikola Stojiljkovic","SC Braga","Kayserispor","Loan fee:500000"
"Baiano","SC Braga","Rayo Vallecano","0"
"Djavan","SC Braga","GD Chaves","0"
"Rodrigo Pinho","SC Braga","CS Marítimo","0"
"Tiago Gomes","SC Braga","CD Feirense","0"
"André Pinto","SC Braga","Sporting CP","0"
"Paulinho","SC Braga","GD Chaves","?"
"Crislan","SC Braga","Shimizu S-Pulse","Loan fee:0"
"Artur Jorge","SC Braga","FCS Bucharest","Loan fee:0"
"Joca","SC Braga","CD Tondela","Loan fee:0"
"Rafael Assis","SC Braga","FC Paços de Ferreira","Loan fee:0"
"João Gamboa","SC Braga","CS Marítimo","?"
"Alef","SC Braga","Apollon Limassol","Loan fee:0"
"Dolly Menga","SC Braga","Free agent","0"
"Érick Moreno","SC Braga","Free agent","0"
"Alan","SC Braga","Retired","0"
"Stephen Eustáquio","Leixões SC","GD Chaves","500000"
"Nikola Maras","FK Rad","GD Chaves","400000"
"Jefferson","HNK Hajduk Split","GD Chaves","350000"
"Platiny","CD Feirense","GD Chaves","0"
"Matheus Pereira","Sporting CP","GD Chaves","Loan fee:0"
"Filipe Melo","Sheffield Wednesday","GD Chaves","0"
"Tiago Galvão","FK Borac Cacak","GD Chaves","?"
"Rafael Furlan","Anápolis Futebol Clube (GO)","GD Chaves","?"
"João Kuspiosz","AR São Martinho","GD Chaves","?"
"Domingos Duarte","Sporting CP","GD Chaves","Loan fee:0"
"Hugo Basto","FC Arouca","GD Chaves","?"
"Foguinho","Associação Atlética Aparecidense (GO)","GD Chaves","?"
"Anderson Conceição","São Bernardo Futebol Clube (SP)","GD Chaves","?"
"Rúben","Vitória Guimarães SC","GD Chaves","?"
"Rafael Batatinha","Gil Vicente FC","GD Chaves","Loan End"
"Jordán","Free agent","GD Chaves","0"
"João Kuspiosz","CD Cova Piedade","GD Chaves","Loan End"
"Latyr Fall","Vilaverdense FC","GD Chaves","Loan End"
"Gustavo","Juventude de Pedras Salgadas","GD Chaves","Loan End"
"José Xavier","Juventude de Pedras Salgadas","GD Chaves","Loan End"
"Rafa Lopes","GD Chaves","Omonia Nicosia","0"
"Alioune Fall","GD Chaves","Gil Vicente FC","0"
"João Kuspiosz","GD Chaves","CD Cova Piedade","Loan fee:0"
"Nemanja Petrović","GD Chaves","FK Napredak Krusevac","0"
"Nélson Lenho","GD Chaves","Desportivo Aves","0"
"João Mário","GD Chaves","Académico Viseu FC","0"
"Latyr Fall","GD Chaves","Vilaverdense FC","0"
"Rafael Batatinha","GD Chaves","CD Santa Clara","0"
"Braga","GD Chaves","Desportivo Aves","0"
"Victor Massaia","GD Chaves","FC Arouca","0"
"Jordán","GD Chaves","FC Famalicão","Loan fee:0"
"José Xavier","GD Chaves","Wolverhampton Wanderers","?"
"Fábio Santos","GD Chaves","Académico Viseu FC","?"
"Félix Mathaus","GD Chaves","UD Oliveirense","?"
"Anderson Conceição","GD Chaves","Clube de Regatas Brasil (AL)","?"
"Gustavo","GD Chaves","Free agent","0"
"Foguinho","GD Chaves","Free agent","0"
"Felipe Lopes","GD Chaves","Free agent","0"
"Rúben","GD Chaves","Free agent","0"
"Fernando Tissone","Karpaty Lviv","Desportivo Aves","0"
"Diego Galo","Moreirense FC","Desportivo Aves","0"
"Youssouf","Louletano DC","Desportivo Aves","0"
"Amilton","TSV 1860 Munich","Desportivo Aves","0"
"Artur Moraes","Associação Chapecoense de Futebol","Desportivo Aves","0"
"Pedrinho","Rio Ave FC","Desportivo Aves","0"
"Nildo Petrolina","Moreirense FC","Desportivo Aves","0"
"Federico Falcone","Terengganu FC","Desportivo Aves","0"
"Gonçalo","GNK Dinamo Zagreb","Desportivo Aves","0"
"Rodrigo Defendi","NK Maribor","Desportivo Aves","0"
"Washington Santana","CD Nacional","Desportivo Aves","?"
"Sami","FC Porto","Desportivo Aves","?"
"Adriano Facchini","CD Nacional","Desportivo Aves","?"
"Valdeir","Salgueiro Atlético Clube (PE)","Desportivo Aves","?"
"Youssouf","Leixões SC","Desportivo Aves","Loan End"
"Alexandre Hans","SC Covilhã","Desportivo Aves","Loan End"
"Paulo Machado","Free agent","Desportivo Aves","0"
"Jorge Fellipe","Free agent","Desportivo Aves","0"
"Valdeir","Gil Vicente FC","Desportivo Aves","Loan End"
"Steve Ekedi","SC Freamunde","Desportivo Aves","Loan End"
"Abdoulaye Diallo","SU 1º Dezembro","Desportivo Aves","Loan End"
"Bosson Romaric","Desportivo Aves","CF União Madeira","0"
"Abdoulaye Diallo","Desportivo Aves","Real SC","Loan fee:0"
"Nélson Pedroso","Desportivo Aves","Académica Coimbra","0"
"Leandro Souza","Desportivo Aves","União de Leiria","0"
"Alexandre Hans","Desportivo Aves","CD Mafra","0"
"Luís Alberto","Desportivo Aves","Académico Viseu FC","0"
"Caetano","Desportivo Aves","FC Penafiel","0"
"Xandão","Desportivo Aves","UD Oliveirense","0"
"Tiago Valente","Desportivo Aves","Varzim SC","0"
"João Amorim","Desportivo Aves","FC Arouca","0"
"Steve Ekedi","Desportivo Aves","JS Kabylie","0"
"Yaya Bamba","Desportivo Aves","CD Nacional","Loan fee:0"
"Zé Valente","Desportivo Aves","FC Vizela","0"
"Gonçalo","Desportivo Aves","GD Estoril Praia","0"
"Marco Pinto","Desportivo Aves","CF Canelas 2010","Loan fee:0"
"Tarcísio","Desportivo Aves","Académico Viseu FC","0"
"Zé Tiago","Desportivo Aves","Académica Coimbra","0"
"Theo Mendy","Desportivo Aves","Adana Demirspor","0"
"Ericson","Desportivo Aves","FC Arouca","0"
"Youssouf","Desportivo Aves","Leixões SC","Loan fee:0"
"Barry","Desportivo Aves","Académico Viseu FC","0"
"Washington Santana","Desportivo Aves","Panionios Athens","0"
"Luquinhas","Desportivo Aves","UD Vilafranquense","Loan fee:0"
"Rafael Alves","Desportivo Aves","FC Vizela","0"
"Valdeir","Desportivo Aves","Gil Vicente FC","Loan fee:0"
"João Pedro","Desportivo Aves","CD Santa Clara","0"
"Rúben Ribeiro","Desportivo Aves","Sport União Sintrense","0"
"José Ricardo","Desportivo Aves","SC Mirandela","Loan fee:0"
"Renato Reis","Desportivo Aves","SC Covilhã","Loan fee:0"
"Ricardo Mangas","Desportivo Aves","SC Mirandela","Loan fee:0"
"Erivaldo","Desportivo Aves","Académico Viseu FC","Loan fee:0"
"Bruno Alves","Desportivo Aves","FC Arouca","?"
"Pedró","Desportivo Aves","SC Farense","Loan fee:0"
"Le Tong","Desportivo Aves","Free agent","0"
"João Gabriel","Desportivo Aves","Free agent","0"
"Seejou King","Desportivo Aves","Free agent","0"
"Ailton","Fluminense Football Club","GD Estoril Praia","800000"
"Eduardo","Fluminense Football Club","GD Estoril Praia","800000"
"Matheus Jesus","Associação Atlética Ponte Preta","GD Estoril Praia","800000"
"Matheus Índio","Club de Regatas Vasco da Gama","GD Estoril Praia","300000"
"Allano Lima","Cruzeiro Esporte Clube","GD Estoril Praia","265000"
"Jonata","Clube de Regatas Brasil (AL)","GD Estoril Praia","75000"
"Aylton Boa Morte","SC Salgueiros","GD Estoril Praia","0"
"Matheus Sávio","Clube de Regatas do Flamengo","GD Estoril Praia","Loan fee:0"
"Renan Ribeiro","São Paulo Futebol Clube","GD Estoril Praia","0"
"Rafik Halliche","Qatar Sports Club","GD Estoril Praia","0"
"Jorman Aguilar","SC Olhanense","GD Estoril Praia","0"
"Mateus Muller","Sociedade Esportiva Palmeiras","GD Estoril Praia","0"
"Abner","Real Madrid Castilla","GD Estoril Praia","Loan fee:0"
"Lucas Evangelista","Udinese Calcio","GD Estoril Praia","Loan fee:0"
"Charalampos Kyriakou","Apollon Limassol","GD Estoril Praia","Loan fee:0"
"Lucão","São Paulo Futebol Clube","GD Estoril Praia","Loan fee:0"
"João Gurgel","SU 1º Dezembro","GD Estoril Praia","?"
"Caio Rangel","Cagliari Calcio","GD Estoril Praia","?"
"Ewandro Costa","Udinese Calcio","GD Estoril Praia","Loan fee:0"
"Wesley","Paysandu Sport Club","GD Estoril Praia","?"
"João Gurgel","Clube Oriental Lissabon","GD Estoril Praia","Loan End"
"Bruno Gomes","Sport Club Internacional","GD Estoril Praia","0"
"Matheus Iacovelli","Real SC","GD Estoril Praia","Loan End"
"Dankler","RC Lens","GD Estoril Praia","Loan End"
"Caio Rangel","Criciúma Esporte Clube","GD Estoril Praia","Loan End"
"Lucas Morelatto","CD Mafra","GD Estoril Praia","Loan End"
"Carlinhos","GD Estoril Praia","Standard Liège","2000000"
"Mattheus","GD Estoril Praia","Sporting CP","2000000"
"Diogo Amado","GD Estoril Praia","Al Gharafa Sports Club","500000"
"Dmytro Yarchuk","GD Estoril Praia","UD Vilafranquense","Loan fee:0"
"João Basso","GD Estoril Praia","Real SC","Loan fee:0"
"Dankler","GD Estoril Praia","RC Lens","Loan fee:0"
"Matheus Jesus","GD Estoril Praia","Santos FC","Loan fee:0"
"Lucas Morelatto","GD Estoril Praia","CD Mafra","0"
"João Gurgel","GD Estoril Praia","Clube Atlético Juventus (SP)","Loan fee:0"
"Caio Rangel","GD Estoril Praia","Criciúma Esporte Clube","Loan fee:0"
"Luís Ribeiro","GD Estoril Praia","Real SC","Loan fee:0"
"Tocantins","GD Estoril Praia","Londrina Esporte Clube (PR)","Loan fee:0"
"Aylton Boa Morte","GD Estoril Praia","CD Cova Piedade","Loan fee:0"
"Mateus Muller","GD Estoril Praia","Paysandu Sport Club","Loan fee:0"
"Oumar Diakhité","GD Estoril Praia","Kazma Sporting Club","Loan fee:0"
"Afonso Taira","GD Estoril Praia","Ironi Kiryat Shmona","?"
"Wesley","GD Estoril Praia","Paraná Clube","Loan fee:0"
"Matheus Iacovelli","GD Estoril Praia","Real SC","Loan fee:0"
"Nuno Lopes","GD Estoril Praia","Free agent","0"
"João Lima","GD Estoril Praia","Unknown","0"
"Matheus Índio","GD Estoril Praia","Club de Regatas Vasco da Gama","Loan End"
"Bruno Gomes","GD Estoril Praia","Sport Club Internacional","Loan End"
"Licá","GD Estoril Praia","Nottingham Forest","Loan End"
"Konstantin Bazelyuk","GD Estoril Praia","CSKA Moscow","Loan End"
"Allano Lima","GD Estoril Praia","Cruzeiro Esporte Clube","Loan End"
"Eduardo","GD Estoril Praia","Fluminense Football Club","Loan End"
"João Afonso","GD Estoril Praia","Vitória Guimarães SC","Loan End"
"Anastasios Karamanos","Olympiacos Piraeus","CD Feirense","Loan fee:0"
"Michal Miskiewicz","Wisla Kraków","CD Feirense","0"
"João Silva","US Salernitana 1919","CD Feirense","0"
"Luis Henrique","Atlético Paranaense","CD Feirense","0"
"Caio Secco","USD Sestri Levante 1919","CD Feirense","0"
"Alphonse","Gil Vicente FC","CD Feirense","0"
"Rafael Crivellaro","Sepahan FC","CD Feirense","0"
"Bruno Nascimento","Free agent","CD Feirense","0"
"Gustavo Ermel","Figueirense Futebol Clube","CD Feirense","Loan fee:0"
"Antonio Briseño","Tigres UANL","CD Feirense","?"
"Zé Manuel","FC Porto","CD Feirense","Loan fee:0"
"José Valencia","Independiente Santa Fe","CD Feirense","?"
"Kiki","SC Olhanense","CD Feirense","?"
"Nandinho","AD Sanjoanense","CD Feirense","Loan End"
"Renato Maia","AD Oliveirense","CD Feirense","Loan End"
"Mica","GD Gafanha","CD Feirense","Loan End"
"Pedro Santos","GD Gafanha","CD Feirense","Loan End"
"Dele Alampasu","FC Cesarense","CD Feirense","Loan End"
"Vieirinha","AD Sanjoanense","CD Feirense","Loan End"
"Tiago Jogo","FC Cesarense","CD Feirense","Loan End"
"Vaná Alves","CD Feirense","FC Porto","1000000"
"Peçanha","CD Feirense","Académico Viseu FC","0"
"Tiago Jogo","CD Feirense","SC Olhanense","0"
"Zé Pedro","CD Feirense","FC Felgueiras 1932","Loan fee:0"
"Renato Maia","CD Feirense","SC São João Ver","0"
"Luis Henrique","CD Feirense","Nacional Atlético Clube (SP)","0"
"Mica","CD Feirense","AD Fafe","0"
"William Tchuameni","CD Feirense","SönderjyskE","0"
"Alphonse","CD Feirense","Gil Vicente FC","Loan fee:0"
"Pedro Santos","CD Feirense","Recreio Desportivo Águeda","0"
"Ibrahim","CD Feirense","GD Gafanha","Loan fee:0"
"Rena","CD Feirense","Lusitânia FC Lourosa","0"
"Vieirinha","CD Feirense","SC Salgueiros","0"
"Iduitua David","CD Feirense","GD Gafanha","Loan fee:0"
"Ivo Eichman","CD Feirense","AD Sanjoanense","Loan fee:0"
"Fabinho","CD Feirense","Free agent","0"
"Paulo Monteiro","CD Feirense","Free agent","0"
"Wellington","CD Feirense","Free agent","0"
"Gustavo Ermel","CD Feirense","Figueirense Futebol Clube","Loan End"
"Ícaro","CD Feirense","Free agent","0"
"Anastasios Karamanos","CD Feirense","Olympiacos Piraeus","Loan End"
"Ibson","Ermis Aradippou","CS Marítimo","50000"
"Viktor Lundberg","Randers FC","CS Marítimo","0"
"Rúben","Free agent","CS Marítimo","0"
"Fábio Pacheco","Vitória Setúbal FC","CS Marítimo","0"
"Zainadine Júnior","Tianjin Teda","CS Marítimo","0"
"Jorge Correa","Club Atlético Vélez Sarsfield","CS Marítimo","0"
"Pablo Santos","Paysandu Sport Club","CS Marítimo","?"
"Bebeto","Moto Club de São Luís (MA)","CS Marítimo","?"
"Fabrício Baiano","Coritiba Foot Ball Club","CS Marítimo","?"
"Ricardo Valente","Vitória Guimarães SC","CS Marítimo","?"
"Joel Tagueu","Cruzeiro Esporte Clube","CS Marítimo","Loan fee:0"
"Everton","Manama Club","CS Marítimo","?"
"Dráusio","Free agent","CS Marítimo","0"
"Esquerdinha","Madureira Esporte Clube (RJ)","CS Marítimo","Loan End"
"Amido Baldé","CD Tondela","CS Marítimo","Loan End"
"Gevaro Nepomuceno","FC Famalicão","CS Marítimo","Loan End"
"Brito","CS Marítimo","AO Xanthi","0"
"Donald Djousse","CS Marítimo","Académica Coimbra","Loan fee:0"
"Gildo Vilanculos","CS Marítimo","Real SC","Loan fee:0"
"Amido Baldé","CS Marítimo","FK Kukësi","0"
"Esquerdinha","CS Marítimo","Sousa Esporte Clube (PB)","0"
"Deyvison","CS Marítimo","FC Arouca","0"
"Alex Soares","CS Marítimo","Omonia Nicosia","0"
"Alhassane Keita","CS Marítimo","Maccabi Netanya","Loan fee:0"
"Adul Seidi","CS Marítimo","SC Covilhã","Loan fee:0"
"Piqueti","CS Marítimo","Académica Coimbra","Loan fee:0"
"Maurício Antônio","CS Marítimo","Urawa Red Diamonds","?"
"António Xavier","CS Marítimo","FC Paços de Ferreira","?"
"Viktor Lundberg","CS Marítimo","BK Häcken","?"
"Wellington Luís","CS Marítimo","SC Salgueiros","?"
"Gevaro Nepomuceno","CS Marítimo","Oldham Athletic","?"
"Shaher Mansour","CS Marítimo","Free agent","0"
"Wellington","CS Marítimo","Free agent","0"
"Zainadine Júnior","CS Marítimo","Tianjin Teda","Loan End"
"Abdul Basit","CS Marítimo","FC Stumbras Kaunas","Loan End"
"Matheus Reis","São Paulo Futebol Clube","Moreirense FC","Loan fee:0"
"Felipe Garcia","Atlético Goianiense","Moreirense FC","0"
"Koffi Kouao","FC Vizela","Moreirense FC","0"
"Hicham Belkaroui","Esperance Tunis","Moreirense FC","0"
"Edno","América Futebol Clube (MG)","Moreirense FC","0"
"Bruno Silva","Gil Vicente FC","Moreirense FC","0"
"Jhonder Cádiz","CD Nacional","Moreirense FC","?"
"Rúben Lima","CF União Madeira","Moreirense FC","?"
"Iago Santos","Dibba Al-Hisn","Moreirense FC","?"
"Jhonatan","Joinville Esporte Clube (SC)","Moreirense FC","?"
"Ronaldo Peña","Caracas FC","Moreirense FC","Loan fee:0"
"Bilel Aouacheria","SC Covilhã","Moreirense FC","?"
"Arsénio","CSKA Sofia","Moreirense FC","?"
"Elsinho","Recreativo Águias Musgueira","Moreirense FC","?"
"Zizo","Lierse SK","Moreirense FC","?"
"Tozé","Vitória Guimarães SC","Moreirense FC","Loan fee:0"
"Mohamed Abarhoun","Moghreb Tétouan","Moreirense FC","?"
"Rafael Costa","Red Bull Brasil (SP)","Moreirense FC","?"
"Bruno Ramires","Cruzeiro Esporte Clube","Moreirense FC","Loan fee:0"
"Boubacar Fofana","Free agent","Moreirense FC","0"
"Victor Braga","SC Freamunde","Moreirense FC","Loan End"
"Patrick Andrade","SC Salgueiros 08","Moreirense FC","Loan End"
"Victor Braga","FC Famalicão","Moreirense FC","Loan End"
"Ença Fati","Leixões SC","Moreirense FC","Loan End"
"João Vieira","FC Vizela","Moreirense FC","Loan End"
"Ernest Ohemeng","Académica Coimbra","Moreirense FC","Loan End"
"João Sousa","FC Vizela","Moreirense FC","Loan End"
"Caleb Gomina","FC Felgueiras 1932","Moreirense FC","Loan End"
"Cauê","Moreirense FC","Omiya Ardija","750000"
"Jander","Moreirense FC","Apollon Limassol","0"
"Caleb Gomina","Moreirense FC","AD Oliveirense","Loan fee:0"
"Igor Stefanović","Moreirense FC","Córdoba CF","0"
"Victor Braga","Moreirense FC","CD Cinfaes","Loan fee:0"
"João Vieira","Moreirense FC","União de Leiria","0"
"Marcelo Oliveira","Moreirense FC","CD Santa Clara","0"
"Frédéric Maciel","Moreirense FC","Gil Vicente FC","?"
"Ença Fati","Moreirense FC","UD Oliveirense","Loan fee:0"
"Elsinho","Moreirense FC","SC Freamunde","Loan fee:0"
"Tiago Almeida","Moreirense FC","CSM Politehnica Iasi","?"
"Ernest Ohemeng","Moreirense FC","FC Arouca","Loan fee:0"
"João Sousa","Moreirense FC","UD Oliveirense","Loan fee:0"
"Tiago Morgado","Moreirense FC","Real SC","?"
"Giorgi Makaridze","Moreirense FC","Rio Ave FC","?"
"Diego Ivo","Moreirense FC","Paysandu Sport Club","?"
"Patrick Andrade","Moreirense FC","SC Salgueiros","?"
"Jhonder Cádiz","Moreirense FC","Monagas SC","0"
"Pedro Taborda","Moreirense FC","Retired","0"
"Roberto","Moreirense FC","FC Arouca","Loan End"
"David Ramírez","Moreirense FC","Deportivo Saprissa","Loan End"
"Modou Sougou","Moreirense FC","Sheffield Wednesday","Loan End"
"Wallyson Mallmann","Moreirense FC","Sporting CP","Loan End"
"Fernando Alexandre","Moreirense FC","Académica Coimbra","Loan End"
"Alex","Moreirense FC","Vitória Guimarães SC","Loan End"
"Bruno Moreira","Buriram United","FC Paços de Ferreira","0"
"André Leão","Real Valladolid CF","FC Paços de Ferreira","0"
"Dylan McGowan","Adelaide United","FC Paços de Ferreira","0"
"Rúben Micael","Shijiazhuang Ever Bright","FC Paços de Ferreira","0"
"Gian Martins","CF União Madeira","FC Paços de Ferreira","0"
"Rui Correia","CD Nacional","FC Paços de Ferreira","?"
"Awer Mabil","FC Midtjylland","FC Paços de Ferreira","Loan fee:0"
"Héctor Quiñónes","Junior FC","FC Paços de Ferreira","?"
"Bruno Leite","Grêmio Esportivo Anápolis (GO)","FC Paços de Ferreira","Loan fee:0"
"Rabiola","Free agent","FC Paços de Ferreira","0"
"Bruno Sousa","Gondomar SC","FC Paços de Ferreira","Loan End"
"Marco","Gondomar SC","FC Paços de Ferreira","Loan End"
"Sodiq Fatai","Leixões SC","FC Paços de Ferreira","Loan End"
"Gegé","FC Paços de Ferreira","Al-Feiha FC","500000"
"Paulo Henrique","FC Paços de Ferreira","SC Covilhã","Loan fee:0"
"Mateus da Silva","FC Paços de Ferreira","CD Nacional","Loan fee:0"
"Cícero","FC Paços de Ferreira","FC Arouca","0"
"Raúl Almeida","FC Paços de Ferreira","SC Covilhã","Loan fee:0"
"Romeu","FC Paços de Ferreira","Varzim SC","0"
"Yerjet Yerzat","FC Paços de Ferreira","Leixões SC","0"
"Bruno Sousa","FC Paços de Ferreira","Gondomar SC","0"
"Minhoca","FC Paços de Ferreira","CD Santa Clara","0"
"Tony Taylor","FC Paços de Ferreira","Jacksonville Armada FC","0"
"Dylan McGowan","FC Paços de Ferreira","Gangwon FC","Loan fee:0"
"Welthon","FC Paços de Ferreira","Vitória Guimarães SC","?"
"Christian","FC Paços de Ferreira","CD Nacional","Loan fee:0"
"Diego Medeiros","FC Paços de Ferreira","CD Nacional","Loan fee:0"
"Barnes Osei","FC Paços de Ferreira","FC Arouca","Loan fee:0"
"Sodiq Fatai","FC Paços de Ferreira","SC Covilhã","Loan fee:0"
"Rabiola","FC Paços de Ferreira","Free agent","0"
"Filipe Melo","FC Paços de Ferreira","Sheffield Wednesday","Loan End"
"Ricardo Valente","FC Paços de Ferreira","Vitória Guimarães SC","Loan End"
"Majeed Waris","FC Lorient","FC Porto","Loan fee:250000"
"Paulinho","Portimonense SC","FC Porto","Loan fee:0"
"Yordan Osorio","CD Tondela","FC Porto","Loan fee:0"
"Walter","Atlético Goianiense","FC Porto","Loan End"
"Zé Manuel","Wisla Kraków","FC Porto","Loan End"
"Kelvin","Club de Regatas Vasco da Gama","FC Porto","Loan End"
"Gonçalo Paciência","Vitória Setúbal FC","FC Porto","Loan End"
"Juan Quintero","Independiente Medellín","FC Porto","Loan End"
"Rafa Soares","Fulham FC","FC Porto","Loan End"
"Gonçalo Paciência","Rio Ave FC","FC Porto","Loan End"
"Hyun-Jun Suk","Debreceni VSC","FC Porto","Loan End"
"Hernâni","Vitória Guimarães SC","FC Porto","Loan End"
