"Player","Source","Target","Value"
"Marvin Schulz","Borussia Mönchengladbach","FC Luzern","?"
"Kwame Yeboah","Borussia Mönchengladbach","SC Paderborn 07","Loan fee:0"
"Reece Oxford","Borussia Mönchengladbach","West Ham United","Loan End"
"Christofer Heimeroth","Borussia Mönchengladbach","Retired","0"
"Andreas Christensen","Borussia Mönchengladbach","Chelsea FC","Loan End"
"Nabil Bentaleb","Tottenham Hotspur","FC Schalke 04","19000000"
"Yevhen Konoplyanka","Sevilla FC","FC Schalke 04","12500000"
"Amine Harit","FC Nantes","FC Schalke 04","8000000"
"Bastian Oczipka","Eintracht Frankfurt","FC Schalke 04","4500000"
"Pablo Insua","Deportivo de La Coruña","FC Schalke 04","3500000"
"Cedric Teuchert","1.FC Nuremberg","FC Schalke 04","1000000"
"Marko Pjaca","Juventus FC","FC Schalke 04","Loan fee:800000"
"Michael Langer","IFK Norrköping","FC Schalke 04","0"
"Abdul Rahman Baba","Chelsea FC","FC Schalke 04","Loan fee:0"
"Sascha Riether","Career break","FC Schalke 04","0"
"Bernard Tekpetey","SC Rheindorf Altach","FC Schalke 04","Loan End"
"Fabian Giefer","Bristol City","FC Schalke 04","Loan End"
"Sidney Sam","SV Darmstadt 98","FC Schalke 04","Loan End"
"Felix Platte","SV Darmstadt 98","FC Schalke 04","Loan End"
"Fabian Reese","Karlsruher SC","FC Schalke 04","Loan End"
"Benedikt Höwedes","FC Schalke 04","Juventus FC","Loan fee:3500000"
"Johannes Geis","FC Schalke 04","Sevilla FC","Loan fee:2000000"
"Felix Platte","FC Schalke 04","SV Darmstadt 98","800000"
"Fabian Giefer","FC Schalke 04","FC Augsburg","750000"
"Phil Neumann","FC Schalke 04","FC Ingolstadt 04","0"
"Klaas-Jan Huntelaar","FC Schalke 04","Ajax Amsterdam","0"
"Haji Wright","FC Schalke 04","SV Sandhausen","Loan fee:0"
"Sidney Sam","FC Schalke 04","VfL Bochum","0"
"Eric Maxim Choupo-Moting","FC Schalke 04","Stoke City","0"
"Atsuto Uchida","FC Schalke 04","1.FC Union Berlin","0"
"Timon Wellenreuther","FC Schalke 04","Willem II Tilburg","0"
"Sead Kolasinac","FC Schalke 04","Arsenal FC","0"
"Dennis Aogo","FC Schalke 04","VfB Stuttgart","0"
"Fabian Reese","FC Schalke 04","SpVgg Greuther Fürth","Loan fee:0"
"Donis Avdijaj","FC Schalke 04","Roda JC Kerkrade","Loan fee:0"
"Bernard Tekpetey","FC Schalke 04","SC Rheindorf Altach","Loan fee:0"
"Coke","FC Schalke 04","Levante UD","Loan fee:0"
"Luke Hemmerich","FC Schalke 04","VfL Bochum","Loan fee:0"
"Sascha Riether","FC Schalke 04","Career break","0"
"Yevhen Konoplyanka","FC Schalke 04","Sevilla FC","Loan End"
"Nabil Bentaleb","FC Schalke 04","Tottenham Hotspur","Loan End"
"Abdul Rahman Baba","FC Schalke 04","Chelsea FC","Loan End"
"Sébastien Haller","FC Utrecht","Eintracht Frankfurt","7000000"
"Jetro Willems","PSV Eindhoven","Eintracht Frankfurt","5000000"
"Simon Falette","FC Metz","Eintracht Frankfurt","2700000"
"Daichi Kamada","Sagan Tosu","Eintracht Frankfurt","1600000"
"Danny da Costa","Bayer 04 Leverkusen","Eintracht Frankfurt","1000000"
"Carlos Salcedo","Deportivo Guadalajara","Eintracht Frankfurt","Loan fee:450000"
"Marijan Cavar","HSK Zrinjski Mostar","Eintracht Frankfurt","400000"
"Gelson Fernandes","Stade Rennais FC","Eintracht Frankfurt","350000"
"Ante Rebic","ACF Fiorentina","Eintracht Frankfurt","Loan fee:0"
"Jan Zimmermann","TSV 1860 Munich","Eintracht Frankfurt","0"
"Jonathan de Guzmán","SSC Napoli","Eintracht Frankfurt","0"
"Kevin-Prince Boateng","UD Las Palmas","Eintracht Frankfurt","0"
"Haris Seferovic","Eintracht Frankfurt","SL Benfica","0"
"Slobodan Medojevic","Eintracht Frankfurt","SV Darmstadt 98","0"
"Furkan Zorba","Eintracht Frankfurt","VfL Osnabrück","0"
"Heinz Lindner","Eintracht Frankfurt","Grasshopper Club Zurich","0"
"Max Besuschkow","Eintracht Frankfurt","Holstein Kiel","Loan fee:0"
"Yanni Regäsel","Eintracht Frankfurt","Free agent","?"
"Andersson Ordóñez","Eintracht Frankfurt","LDU Quito","Loan fee:0"
"Ante Rebic","Eintracht Frankfurt","ACF Fiorentina","Loan End"
"Shani Tarashaj","Eintracht Frankfurt","Everton FC","Loan End"
"Michael Hector","Eintracht Frankfurt","Chelsea FC","Loan End"
"Guillermo Varela","Eintracht Frankfurt","Manchester United","Loan End"
"Jesús Vallejo","Eintracht Frankfurt","Real Madrid","Loan End"
"Lucas Alario","Club Atlético River Plate","Bayer 04 Leverkusen","24000000"
"Panagiotis Retsos","Olympiacos Piraeus","Bayer 04 Leverkusen","17500000"
"Dominik Kohr","FC Augsburg","Bayer 04 Leverkusen","2000000"
"Andrejs Ciganiks","FC Viktoria Köln","Bayer 04 Leverkusen","Loan End"
"Patrik Dzalto","SSV Jahn Regensburg","Bayer 04 Leverkusen","Loan End"
"Kyriakos Papadopoulos","Hamburger SV","Bayer 04 Leverkusen","Loan End"
"Marc Brasnic","SC Fortuna Köln","Bayer 04 Leverkusen","Loan End"
"André Ramalho","1.FSV Mainz 05","Bayer 04 Leverkusen","Loan End"
"Paterson Chato","SC Wiedenbrück","Bayer 04 Leverkusen","Loan End"
"Marlon Frey","1.FC Kaiserslautern","Bayer 04 Leverkusen","Loan End"
"Seung-uh Ryu","Ferencvárosi TC","Bayer 04 Leverkusen","Loan End"
"Lukas Boeder","SC Paderborn 07","Bayer 04 Leverkusen","Loan End"
"Hakan Calhanoglu","Bayer 04 Leverkusen","AC Milan","22000000"
"Chicharito","Bayer 04 Leverkusen","West Ham United","17800000"
"Admir Mehmedi","Bayer 04 Leverkusen","VfL Wolfsburg","8000000"
"Kyriakos Papadopoulos","Bayer 04 Leverkusen","Hamburger SV","6500000"
"Aleksandar Dragovic","Bayer 04 Leverkusen","Leicester City","Loan fee:2500000"
"André Ramalho","Bayer 04 Leverkusen","Red Bull Salzburg","800000"
"Lukas Boeder","Bayer 04 Leverkusen","SC Paderborn 07","0"
"Patrik Dzalto","Bayer 04 Leverkusen","SSV Jahn Regensburg","0"
"Joel Abu Hanna","Bayer 04 Leverkusen","1.FC Kaiserslautern","?"
"Robin Becker","Bayer 04 Leverkusen","Eintracht Braunschweig","?"
"Marc Brasnic","Bayer 04 Leverkusen","FC Viktoria Köln","?"
"Seung-uh Ryu","Bayer 04 Leverkusen","Jeju United FC","?"
"Roberto Hilbert","Bayer 04 Leverkusen","Free agent","0"
"Michael Gregoritsch","Hamburger SV","FC Augsburg","5500000"
"Sergio Córdova","Caracas FC","FC Augsburg","1000000"
"Kilian Jakob","TSV 1860 Munich","FC Augsburg","300000"
"Marcel Heller","SV Darmstadt 98","FC Augsburg","0"
"Erik Thommy","SSV Jahn Regensburg","FC Augsburg","Loan End"
"Albian Ajeti","FC St. Gallen 1879","FC Augsburg","Loan End"
"Tim Matavz","1.FC Nuremberg","FC Augsburg","Loan End"
"Shawn Parker","1.FC Nuremberg","FC Augsburg","Loan End"
"Daniel Opare","RC Lens","FC Augsburg","Loan End"
"Paul Verhaegh","FC Augsburg","VfL Wolfsburg","1500000"
"Albian Ajeti","FC Augsburg","FC St. Gallen 1879","1000000"
"Konstantinos Stafylidis","FC Augsburg","Stoke City","Loan fee:600000"
"Erik Thommy","FC Augsburg","VfB Stuttgart","500000"
"Halil Altintop","FC Augsburg","SK Slavia Prag","0"
"Tim Rieder","FC Augsburg","Slask Wroclaw","Loan fee:0"
"Marco Schuster","FC Augsburg","SV Waldhof Mannheim","0"
"Georg Teigl","FC Augsburg","Eintracht Braunschweig","Loan fee:0"
"Takashi Usami","FC Augsburg","Fortuna Düsseldorf","Loan fee:0"
"Dong-Won Ji","FC Augsburg","SV Darmstadt 98","Loan fee:0"
"Jan-Ingwer Callsen-Bracker","FC Augsburg","1.FC Kaiserslautern","Loan fee:0"
"Moritz Leitner","FC Augsburg","Norwich City","Loan fee:0"
"Julian Günther-Schmidt","FC Augsburg","FC Carl Zeiss Jena","Loan fee:0"
"Marvin Friedrich","FC Augsburg","1.FC Union Berlin","?"
"Tim Matavz","FC Augsburg","Vitesse Arnhem","?"
"Julian Pollersbeck","1.FC Kaiserslautern","Hamburger SV","3500000"
"Rick van Drongelen","Sparta Rotterdam","Hamburger SV","3000000"
"Bjarne Thoelke","Karlsruher SC","Hamburger SV","0"
"Batuhan Altintas","Yeni Malatyaspor","Hamburger SV","Loan End"
"Sejad Salihovic","Free agent","Hamburger SV","0"
"Arianit Ferati","FC Erzgebirge Aue","Hamburger SV","Loan End"
"Mohamed Gouaida","FC St. Gallen 1879","Hamburger SV","Loan End"
"Sven Schipplock","SV Darmstadt 98","Hamburger SV","Loan End"
"Batuhan Altintas","Kasimpasa","Hamburger SV","Loan End"
"Arianit Ferati","Fortuna Düsseldorf","Hamburger SV","Loan End"
"Arianit Ferati","Hamburger SV","FC Erzgebirge Aue","Loan fee:50000"
"René Adler","Hamburger SV","1.FSV Mainz 05","0"
"Nabil Bahoui","Hamburger SV","Grasshopper Club Zurich","0"
"Johan Djourou","Hamburger SV","Antalyaspor","0"
"Matthias Ostrzolek","Hamburger SV","Hannover 96","0"
"Finn Porath","Hamburger SV","SpVgg Unterhaching","Loan fee:0"
"Dren Feka","Hamburger SV","FC Luzern","?"
"Batuhan Altintas","Hamburger SV","Yeni Malatyaspor","Loan fee:0"
"Pierre-Michel Lasogga","Hamburger SV","Leeds United","Loan fee:0"
"Ashton Götz","Hamburger SV","Free agent","0"
"Abdou Diallo","AS Monaco","1.FSV Mainz 05","5000000"
"Anthony Ujah","Liaoning FC","1.FSV Mainz 05","3800000"
"Alexandru Maxim","VfB Stuttgart","1.FSV Mainz 05","3000000"
"Viktor Fischer","Middlesbrough FC","1.FSV Mainz 05","3000000"
"Kenan Kodro","CA Osasuna","1.FSV Mainz 05","1750000"
"Nigel de Jong","Galatasaray SK","1.FSV Mainz 05","0"
"Todor Nedelev","Botev Plovdiv","1.FSV Mainz 05","Loan End"
"José Rodríguez","Málaga CF","1.FSV Mainz 05","Loan End"
